Anesthesia',01-Jan-10', 49.95
Anesthesia',01-Feb-10', 53.01
Anesthesia',04-Mar-10', 55.65
Anesthesia',04-Apr-10', 59.17
Anesthesia',05-May-10', 61.92
Anesthesia',05-Jun-10', 65.2
Anesthesia',06-Jul-10', 68.22
Anesthesia',06-Aug-10', 71.16
Anesthesia',06-Sep-10', 73.8
Anesthesia',07-Oct-10', 76.99
Anesthesia',07-Nov-10', 79.97
Anesthesia',08-Dec-10', 82.41
Anesthesia',08-Jan-11', 86.07
Anesthesia',08-Feb-11', 89.05
Anesthesia',11-Mar-11', 91.8
Anesthesia',11-Apr-11', 95
Anesthesia',12-May-11', 97.94
Anesthesia',12-Jun-11', 100.96
Anesthesia',13-Jul-11', 103.71
Anesthesia',13-Aug-11', 106.49
Anesthesia',13-Sep-11', 110.03
Anesthesia',13-Sep-11', 109.13
Anesthesia',14-Oct-11', 108.09
Anesthesia',14-Nov-11', 108.76
Anesthesia',15-Dec-11', 106.72
Anesthesia',15-Jan-12', 106.17
Anesthesia',15-Feb-12', 104.18
Anesthesia',17-Mar-12', 104
Anesthesia',17-Apr-12', 103.59
Anesthesia',18-May-12', 101.86
Anesthesia',18-Jun-12', 100.93
Anesthesia',19-Jul-12', 100.53
Anesthesia',19-Aug-12', 98.83
Anesthesia',19-Sep-12', 98.47
Anesthesia',20-Oct-12', 97.23
Anesthesia',20-Nov-12', 96.07
Anesthesia',21-Dec-12', 94.99
Anesthesia',21-Jan-13', 93.56
Anesthesia',21-Feb-13', 93.96
Anesthesia',24-Mar-13', 91.36
Anesthesia',24-Apr-13', 91.12
Anesthesia',25-May-13', 89.23

Cardiology',01-Jan-10', 60.08
Cardiology',01-Feb-10', 66.81
Cardiology',04-Mar-10', 66.96
Cardiology',04-Apr-10', 67.49
Cardiology',05-May-10', 79.46
Cardiology',05-Jun-10', 84.16
Cardiology',06-Jul-10', 87.64
Cardiology',06-Aug-10', 95.36
Cardiology',06-Sep-10', 98.26
Cardiology',07-Oct-10', 104.42
Cardiology',07-Nov-10', 102.82
Cardiology',08-Dec-10', 106.36
Cardiology',08-Jan-11', 116.21
Cardiology',08-Feb-11', 115.66
Cardiology',11-Mar-11', 122.1
Cardiology',11-Apr-11', 124.14
Cardiology',12-May-11', 131.38
Cardiology',12-Jun-11', 138.6
Cardiology',13-Jul-11', 140.06
Cardiology',13-Aug-11', 144.88
Cardiology',13-Sep-11', 150.95
Cardiology',13-Sep-11', 150.17
Cardiology',14-Oct-11', 148.62
Cardiology',14-Nov-11', 148.03
Cardiology',15-Dec-11', 146.97
Cardiology',15-Jan-12', 146.14
Cardiology',15-Feb-12', 144.71
Cardiology',17-Mar-12', 143.97
Cardiology',17-Apr-12', 141.64
Cardiology',18-May-12', 141.87
Cardiology',18-Jun-12', 141.36
Cardiology',19-Jul-12', 139.53
Cardiology',19-Aug-12', 139.78
Cardiology',19-Sep-12', 137.52
Cardiology',20-Oct-12', 136.54
Cardiology',20-Nov-12', 136.35
Cardiology',21-Dec-12', 135.67
Cardiology',21-Jan-13', 134.22
Cardiology',21-Feb-13', 133.02
Cardiology',24-Mar-13', 132.22
Cardiology',24-Apr-13', 130.58
Cardiology',25-May-13', 129.31

Emergency',01-Jan-10', 49.88
Emergency',01-Feb-10', 53.03
Emergency',04-Mar-10', 56.02
Emergency',04-Apr-10', 59.07
Emergency',05-May-10', 61.78
Emergency',05-Jun-10', 65.03
Emergency',06-Jul-10', 68.13
Emergency',06-Aug-10', 71.14
Emergency',06-Sep-10', 74.01
Emergency',07-Oct-10', 76.65
Emergency',07-Nov-10', 80.12
Emergency',08-Dec-10', 82.83
Emergency',08-Jan-11', 85.66
Emergency',08-Feb-11', 89.35
Emergency',11-Mar-11', 91.69
Emergency',11-Apr-11', 94.64
Emergency',12-May-11', 98.06
Emergency',12-Jun-11', 101.24
Emergency',13-Jul-11', 104.03
Emergency',13-Aug-11', 107.27
Emergency',13-Sep-11', 109.99
Emergency',13-Sep-11', 110.69
Emergency',14-Oct-11', 106.5
Emergency',14-Nov-11', 102.26
Emergency',15-Dec-11', 98.5
Emergency',15-Jan-12', 93.86
Emergency',15-Feb-12', 89.67
Emergency',17-Mar-12', 85.3
Emergency',17-Apr-12', 82.54
Emergency',18-May-12', 78.23
Emergency',18-Jun-12', 75.07
Emergency',19-Jul-12', 70.61
Emergency',19-Aug-12', 66.91
Emergency',19-Sep-12', 62.4
Emergency',20-Oct-12', 57.36
Emergency',20-Nov-12', 53.51
Emergency',21-Dec-12', 50.23
Emergency',21-Jan-13', 45.33
Emergency',21-Feb-13', 42.64
Emergency',24-Mar-13', 37.3
Emergency',24-Apr-13', 33.84
Emergency',25-May-13', 29.93
